,files_list,image_name,enrolled,identity_name,ethnicity,Age,Identity,UnifiedQualityScore.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar,children_agegroup
754,African_394/African_394_43.png,African_394_43,enrolled,African_394,African,7,African_394,34.0,100.0,97.0,100.0,7-9
755,African_395/African_395_0.png,African_395_0,enrolled,African_395,African,14,African_395,34.0,98.0,92.0,100.0,13-15
756,African_397/African_397_1.png,African_397_1,enrolled,African_397,African,15,African_397,55.0,100.0,94.0,100.0,13-15
758,African_399/African_399_3.png,African_399_3,enrolled,African_399,African,7,African_399,46.0,99.0,99.0,100.0,7-9
759,African_40/African_40_5.png,African_40_5,enrolled,African_40,African,14,African_40,31.0,82.0,99.0,100.0,13-15
760,African_40/African_40_8.png,African_40_8,enrolled,African_40,African,13,African_40,47.0,99.0,89.0,100.0,13-15
761,African_40/African_40_9.png,African_40_9,enrolled,African_40,African,14,African_40,53.0,100.0,94.0,100.0,13-15
762,African_400/African_400_23.png,African_400_23,enrolled,African_400,African,14,African_400,59.0,100.0,98.0,100.0,13-15
763,African_401/African_401_1.png,African_401_1,enrolled,African_401,African,13,African_401,46.0,99.0,100.0,100.0,13-15
764,African_401/African_401_4.png,African_401_4,enrolled,African_401,African,12,African_401,52.0,99.0,94.0,100.0,10-12
765,African_401/African_401_5.png,African_401_5,enrolled,African_401,African,13,African_401,51.0,98.0,100.0,100.0,13-15
766,African_402/African_402_0.png,African_402_0,enrolled,African_402,African,10,African_402,45.0,98.0,96.0,100.0,10-12
768,African_403/African_403_0.png,African_403_0,enrolled,African_403,African,13,African_403,30.0,99.0,92.0,100.0,13-15
770,African_405/African_405_1.png,African_405_1,enrolled,African_405,African,12,African_405,42.0,98.0,92.0,100.0,10-12
771,African_405/African_405_2.png,African_405_2,enrolled,African_405,African,14,African_405,71.0,100.0,95.0,100.0,13-15
772,African_407/African_407_2.png,African_407_2,enrolled,African_407,African,7,African_407,43.0,100.0,98.0,100.0,7-9
774,African_407/African_407_27.png,African_407_27,enrolled,African_407,African,9,African_407,44.0,100.0,98.0,100.0,7-9
776,African_409/African_409_0.png,African_409_0,enrolled,African_409,African,11,African_409,29.0,100.0,100.0,100.0,10-12
777,African_409/African_409_19.png,African_409_19,enrolled,African_409,African,10,African_409,37.0,100.0,100.0,100.0,10-12
779,African_409/African_409_25.png,African_409_25,enrolled,African_409,African,5,African_409,48.0,94.0,100.0,100.0,4-6
780,African_409/African_409_29.png,African_409_29,enrolled,African_409,African,10,African_409,42.0,100.0,99.0,100.0,10-12
781,African_409/African_409_3.png,African_409_3,enrolled,African_409,African,10,African_409,36.0,98.0,94.0,100.0,10-12
782,African_409/African_409_31.png,African_409_31,enrolled,African_409,African,5,African_409,53.0,99.0,98.0,100.0,4-6
783,African_41/African_41_0.png,African_41_0,enrolled,African_41,African,13,African_41,35.0,100.0,81.0,100.0,13-15
785,African_411/African_411_2.png,African_411_2,enrolled,African_411,African,6,African_411,37.0,100.0,99.0,100.0,4-6
787,African_412/African_412_21.png,African_412_21,enrolled,African_412,African,13,African_412,35.0,80.0,92.0,100.0,13-15
788,African_412/African_412_30.png,African_412_30,enrolled,African_412,African,12,African_412,42.0,96.0,99.0,100.0,10-12
789,African_412/African_412_40.png,African_412_40,enrolled,African_412,African,9,African_412,61.0,100.0,99.0,100.0,7-9
791,African_412/African_412_52.png,African_412_52,enrolled,African_412,African,10,African_412,52.0,99.0,100.0,100.0,10-12
792,African_415/African_415_0.png,African_415_0,enrolled,African_415,African,6,African_415,33.0,100.0,99.0,99.0,4-6
793,African_415/African_415_1.png,African_415_1,enrolled,African_415,African,6,African_415,43.0,100.0,95.0,100.0,4-6
795,African_417/African_417_15.png,African_417_15,enrolled,African_417,African,10,African_417,30.0,98.0,98.0,100.0,10-12
803,African_421/African_421_502.png,African_421_502,enrolled,African_421,African,9,African_421,35.0,96.0,100.0,100.0,7-9
804,African_422/African_422_1.png,African_422_1,enrolled,African_422,African,7,African_422,52.0,98.0,100.0,100.0,7-9
805,African_422/African_422_5.png,African_422_5,enrolled,African_422,African,9,African_422,64.0,100.0,98.0,100.0,7-9
806,African_422/African_422_9.png,African_422_9,enrolled,African_422,African,7,African_422,42.0,99.0,100.0,100.0,7-9
810,African_423/African_423_4.png,African_423_4,enrolled,African_423,African,2,African_423,30.0,100.0,93.0,100.0,1-3
811,African_424/African_424_0.png,African_424_0,enrolled,African_424,African,5,African_424,46.0,100.0,98.0,100.0,4-6
812,African_424/African_424_1.png,African_424_1,enrolled,African_424,African,5,African_424,37.0,95.0,98.0,100.0,4-6
813,African_425/African_425_0.png,African_425_0,enrolled,African_425,African,5,African_425,37.0,100.0,98.0,100.0,4-6
814,African_425/African_425_1.png,African_425_1,enrolled,African_425,African,5,African_425,46.0,99.0,96.0,100.0,4-6
815,African_427/African_427_11.png,African_427_11,enrolled,African_427,African,11,African_427,38.0,97.0,98.0,100.0,10-12
819,African_429/African_429_0.png,African_429_0,enrolled,African_429,African,5,African_429,50.0,97.0,100.0,100.0,4-6
821,African_429/African_429_3.png,African_429_3,enrolled,African_429,African,5,African_429,55.0,99.0,99.0,100.0,4-6
822,African_432/African_432_2.png,African_432_2,enrolled,African_432,African,14,African_432,57.0,97.0,83.0,100.0,13-15
823,African_433/African_433_3.png,African_433_3,enrolled,African_433,African,10,African_433,65.0,100.0,100.0,100.0,10-12
824,African_433/African_433_4.png,African_433_4,enrolled,African_433,African,10,African_433,51.0,100.0,95.0,100.0,10-12
825,African_434/African_434_0.png,African_434_0,enrolled,African_434,African,10,African_434,36.0,100.0,88.0,100.0,10-12
826,African_434/African_434_14.png,African_434_14,enrolled,African_434,African,9,African_434,58.0,100.0,98.0,100.0,7-9
828,African_434/African_434_38.png,African_434_38,enrolled,African_434,African,7,African_434,57.0,100.0,99.0,100.0,7-9
830,African_434/African_434_55.png,African_434_55,enrolled,African_434,African,7,African_434,67.0,100.0,98.0,100.0,7-9
831,African_434/African_434_6.png,African_434_6,enrolled,African_434,African,8,African_434,47.0,100.0,96.0,100.0,7-9
834,African_435/African_435_3.png,African_435_3,enrolled,African_435,African,7,African_435,37.0,100.0,100.0,100.0,7-9
835,African_435/African_435_4.png,African_435_4,enrolled,African_435,African,6,African_435,33.0,76.0,100.0,100.0,4-6
837,African_436/African_436_0.png,African_436_0,enrolled,African_436,African,11,African_436,54.0,99.0,97.0,100.0,10-12
838,African_436/African_436_2.png,African_436_2,enrolled,African_436,African,14,African_436,55.0,99.0,100.0,100.0,13-15
839,African_436/African_436_4.png,African_436_4,enrolled,African_436,African,13,African_436,45.0,99.0,99.0,100.0,13-15
840,African_437/African_437_3.png,African_437_3,enrolled,African_437,African,9,African_437,45.0,99.0,100.0,100.0,7-9
841,African_438/African_438_1.png,African_438_1,enrolled,African_438,African,4,African_438,39.0,99.0,99.0,100.0,4-6
845,African_440/African_440_27.png,African_440_27,enrolled,African_440,African,11,African_440,45.0,100.0,98.0,100.0,10-12
846,African_441/African_441_0.png,African_441_0,enrolled,African_441,African,14,African_441,61.0,100.0,100.0,100.0,13-15
847,African_441/African_441_3.png,African_441_3,enrolled,African_441,African,15,African_441,63.0,96.0,100.0,100.0,13-15
848,African_442/African_442_0.png,African_442_0,enrolled,African_442,African,15,African_442,89.0,99.0,100.0,100.0,13-15
849,African_443/African_443_0.png,African_443_0,enrolled,African_443,African,10,African_443,65.0,88.0,96.0,100.0,10-12
850,African_443/African_443_1.png,African_443_1,enrolled,African_443,African,8,African_443,62.0,100.0,92.0,100.0,7-9
851,African_443/African_443_2.png,African_443_2,enrolled,African_443,African,7,African_443,42.0,91.0,100.0,100.0,7-9
852,African_443/African_443_3.png,African_443_3,enrolled,African_443,African,10,African_443,56.0,88.0,98.0,100.0,10-12
856,African_445/African_445_8.png,African_445_8,enrolled,African_445,African,1,African_445,41.0,94.0,100.0,100.0,1-3
860,African_448/African_448_2.png,African_448_2,enrolled,African_448,African,7,African_448,54.0,100.0,99.0,100.0,7-9
861,African_448/African_448_3.png,African_448_3,enrolled,African_448,African,6,African_448,49.0,98.0,100.0,100.0,4-6
864,African_452/African_452_0.png,African_452_0,enrolled,African_452,African,8,African_452,36.0,99.0,80.0,100.0,7-9
865,African_452/African_452_10.png,African_452_10,enrolled,African_452,African,5,African_452,35.0,99.0,88.0,100.0,4-6
867,African_452/African_452_25.png,African_452_25,enrolled,African_452,African,6,African_452,29.0,99.0,71.0,100.0,4-6
868,African_452/African_452_5.png,African_452_5,enrolled,African_452,African,13,African_452,36.0,68.0,94.0,97.0,13-15
870,African_453/African_453_10.png,African_453_10,enrolled,African_453,African,8,African_453,37.0,97.0,100.0,100.0,7-9
871,African_453/African_453_14.png,African_453_14,enrolled,African_453,African,8,African_453,43.0,92.0,100.0,100.0,7-9
873,African_453/African_453_19.png,African_453_19,enrolled,African_453,African,9,African_453,40.0,87.0,100.0,100.0,7-9
879,African_456/African_456_15.png,African_456_15,enrolled,African_456,African,10,African_456,48.0,99.0,100.0,100.0,10-12
886,African_459/African_459_14.png,African_459_14,enrolled,African_459,African,3,African_459,31.0,99.0,90.0,100.0,1-3
894,African_460/African_460_2.png,African_460_2,enrolled,African_460,African,7,African_460,44.0,99.0,100.0,100.0,7-9
895,African_462/African_462_34.png,African_462_34,enrolled,African_462,African,8,African_462,37.0,99.0,99.0,100.0,7-9
896,African_462/African_462_4.png,African_462_4,enrolled,African_462,African,8,African_462,59.0,80.0,99.0,100.0,7-9
898,African_462/African_462_47.png,African_462_47,enrolled,African_462,African,6,African_462,78.0,100.0,100.0,98.0,4-6
899,African_462/African_462_66.png,African_462_66,enrolled,African_462,African,6,African_462,61.0,100.0,99.0,100.0,4-6
900,African_465/African_465_0.png,African_465_0,enrolled,African_465,African,5,African_465,39.0,99.0,98.0,100.0,4-6
901,African_465/African_465_16.png,African_465_16,enrolled,African_465,African,4,African_465,53.0,92.0,97.0,100.0,4-6
903,African_466/African_466_3.png,African_466_3,enrolled,African_466,African,4,African_466,36.0,90.0,94.0,99.0,4-6
904,African_466/African_466_4.png,African_466_4,enrolled,African_466,African,2,African_466,38.0,96.0,88.0,100.0,1-3
907,African_467/African_467_2.png,African_467_2,enrolled,African_467,African,9,African_467,30.0,100.0,93.0,99.0,7-9
913,African_469/African_469_0.png,African_469_0,enrolled,African_469,African,11,African_469,39.0,100.0,100.0,100.0,10-12
915,African_469/African_469_2.png,African_469_2,enrolled,African_469,African,14,African_469,37.0,100.0,99.0,100.0,13-15
916,African_471/African_471_10.png,African_471_10,enrolled,African_471,African,7,African_471,83.0,100.0,99.0,100.0,7-9
917,African_471/African_471_19.png,African_471_19,enrolled,African_471,African,6,African_471,66.0,100.0,100.0,100.0,4-6
918,African_471/African_471_38.png,African_471_38,enrolled,African_471,African,8,African_471,48.0,100.0,95.0,100.0,7-9
919,African_472/African_472_4.png,African_472_4,enrolled,African_472,African,3,African_472,37.0,100.0,91.0,100.0,1-3
923,African_474/African_474_1.png,African_474_1,enrolled,African_474,African,7,African_474,46.0,100.0,98.0,100.0,7-9
924,African_474/African_474_10.png,African_474_10,enrolled,African_474,African,12,African_474,33.0,98.0,99.0,99.0,10-12
925,African_474/African_474_11.png,African_474_11,enrolled,African_474,African,9,African_474,38.0,100.0,100.0,100.0,7-9
927,African_474/African_474_4.png,African_474_4,enrolled,African_474,African,9,African_474,42.0,97.0,99.0,100.0,7-9
934,African_475/African_475_5.png,African_475_5,enrolled,African_475,African,4,African_475,31.0,94.0,99.0,100.0,4-6
938,African_480/African_480_0.png,African_480_0,enrolled,African_480,African,4,African_480,33.0,86.0,85.0,100.0,4-6
941,African_480/African_480_61.png,African_480_61,enrolled,African_480,African,4,African_480,36.0,100.0,91.0,100.0,4-6
942,African_480/African_480_77.png,African_480_77,enrolled,African_480,African,2,African_480,43.0,100.0,99.0,100.0,1-3
943,African_482/African_482_2.png,African_482_2,enrolled,African_482,African,8,African_482,42.0,90.0,98.0,100.0,7-9
944,African_482/African_482_6.png,African_482_6,enrolled,African_482,African,9,African_482,54.0,100.0,100.0,100.0,7-9
945,African_482/African_482_8.png,African_482_8,enrolled,African_482,African,6,African_482,42.0,100.0,94.0,100.0,4-6
946,African_483/African_483_1.png,African_483_1,enrolled,African_483,African,12,African_483,68.0,100.0,100.0,100.0,10-12
948,African_483/African_483_7.png,African_483_7,enrolled,African_483,African,9,African_483,49.0,99.0,96.0,100.0,7-9
949,African_483/African_483_8.png,African_483_8,enrolled,African_483,African,10,African_483,44.0,90.0,99.0,100.0,10-12
950,African_484/African_484_14.png,African_484_14,enrolled,African_484,African,4,African_484,44.0,87.0,100.0,100.0,4-6
951,African_484/African_484_23.png,African_484_23,enrolled,African_484,African,4,African_484,41.0,100.0,99.0,100.0,4-6
952,African_484/African_484_33.png,African_484_33,enrolled,African_484,African,4,African_484,55.0,100.0,100.0,100.0,4-6
953,African_484/African_484_34.png,African_484_34,enrolled,African_484,African,6,African_484,34.0,91.0,85.0,100.0,4-6
954,African_484/African_484_35.png,African_484_35,enrolled,African_484,African,4,African_484,34.0,97.0,99.0,100.0,4-6
956,African_484/African_484_9.png,African_484_9,enrolled,African_484,African,5,African_484,39.0,94.0,95.0,100.0,4-6
957,African_485/African_485_12.png,African_485_12,enrolled,African_485,African,4,African_485,31.0,89.0,100.0,100.0,4-6
958,African_485/African_485_13.png,African_485_13,enrolled,African_485,African,3,African_485,41.0,95.0,100.0,100.0,1-3
960,African_485/African_485_5.png,African_485_5,enrolled,African_485,African,5,African_485,35.0,98.0,99.0,100.0,4-6
964,African_488/African_488_0.png,African_488_0,enrolled,African_488,African,6,African_488,34.0,98.0,100.0,100.0,4-6
965,African_488/African_488_1.png,African_488_1,enrolled,African_488,African,6,African_488,49.0,100.0,99.0,99.0,4-6
967,African_49/African_49_164.png,African_49_164,enrolled,African_49,African,7,African_49,71.0,100.0,99.0,100.0,7-9
969,African_491/African_491_0.png,African_491_0,enrolled,African_491,African,5,African_491,37.0,98.0,93.0,100.0,4-6
972,African_492/African_492_3.png,African_492_3,enrolled,African_492,African,6,African_492,48.0,95.0,98.0,100.0,4-6
975,African_495/African_495_0.png,African_495_0,enrolled,African_495,African,10,African_495,51.0,95.0,84.0,100.0,10-12
976,African_495/African_495_2.png,African_495_2,enrolled,African_495,African,8,African_495,41.0,99.0,100.0,100.0,7-9
977,African_495/African_495_5.png,African_495_5,enrolled,African_495,African,8,African_495,54.0,100.0,94.0,100.0,7-9
979,African_496/African_496_1.png,African_496_1,enrolled,African_496,African,2,African_496,29.0,92.0,100.0,100.0,1-3
982,African_499/African_499_2.png,African_499_2,enrolled,African_499,African,9,African_499,64.0,84.0,100.0,100.0,7-9
983,African_499/African_499_32.png,African_499_32,enrolled,African_499,African,10,African_499,49.0,83.0,100.0,100.0,10-12
988,African_502/African_502_60.png,African_502_60,enrolled,African_502,African,6,African_502,50.0,99.0,96.0,100.0,4-6
989,African_502/African_502_65.png,African_502_65,enrolled,African_502,African,8,African_502,61.0,99.0,97.0,100.0,7-9
991,African_503/African_503_33.png,African_503_33,enrolled,African_503,African,3,African_503,36.0,95.0,99.0,100.0,1-3
1004,African_508/African_508_1.png,African_508_1,enrolled,African_508,African,10,African_508,36.0,100.0,88.0,100.0,10-12
1006,African_509/African_509_0.png,African_509_0,enrolled,African_509,African,8,African_509,30.0,99.0,93.0,100.0,7-9
1009,African_510/African_510_1.png,African_510_1,enrolled,African_510,African,4,African_510,32.0,100.0,100.0,100.0,4-6
1014,African_517/African_517_13.png,African_517_13,enrolled,African_517,African,11,African_517,43.0,100.0,99.0,100.0,10-12
1015,African_517/African_517_3.png,African_517_3,enrolled,African_517,African,12,African_517,36.0,100.0,94.0,100.0,10-12
1016,African_517/African_517_8.png,African_517_8,enrolled,African_517,African,14,African_517,36.0,99.0,99.0,99.0,13-15
1019,African_523/African_523_0.png,African_523_0,enrolled,African_523,African,3,African_523,73.0,100.0,100.0,98.0,1-3
1020,African_523/African_523_11.png,African_523_11,enrolled,African_523,African,3,African_523,35.0,89.0,97.0,100.0,1-3
1026,African_53/African_53_0.png,African_53_0,enrolled,African_53,African,7,African_53,37.0,100.0,91.0,100.0,7-9
1027,African_53/African_53_20.png,African_53_20,enrolled,African_53,African,9,African_53,29.0,100.0,99.0,100.0,7-9
1028,African_53/African_53_21.png,African_53_21,enrolled,African_53,African,10,African_53,29.0,100.0,99.0,100.0,10-12
1033,African_534/African_534_3.png,African_534_3,enrolled,African_534,African,7,African_534,54.0,99.0,100.0,100.0,7-9
1034,African_535/African_535_34.png,African_535_34,enrolled,African_535,African,2,African_535,39.0,96.0,100.0,100.0,1-3
1035,African_535/African_535_41.png,African_535_41,enrolled,African_535,African,9,African_535,30.0,99.0,94.0,100.0,7-9
1036,African_535/African_535_5.png,African_535_5,enrolled,African_535,African,3,African_535,52.0,99.0,100.0,100.0,1-3
1037,African_535/African_535_51.png,African_535_51,enrolled,African_535,African,5,African_535,38.0,86.0,100.0,100.0,4-6
1038,African_535/African_535_53.png,African_535_53,enrolled,African_535,African,3,African_535,44.0,100.0,97.0,100.0,1-3
1039,African_535/African_535_57.png,African_535_57,enrolled,African_535,African,3,African_535,50.0,97.0,100.0,100.0,1-3
1040,African_535/African_535_60.png,African_535_60,enrolled,African_535,African,3,African_535,38.0,83.0,99.0,100.0,1-3
1041,African_536/African_536_0.png,African_536_0,enrolled,African_536,African,10,African_536,30.0,100.0,85.0,100.0,10-12
1048,African_539/African_539_0.png,African_539_0,enrolled,African_539,African,11,African_539,39.0,97.0,98.0,100.0,10-12
1049,African_540/African_540_19.png,African_540_19,enrolled,African_540,African,9,African_540,55.0,100.0,97.0,100.0,7-9
1050,African_540/African_540_5.png,African_540_5,enrolled,African_540,African,9,African_540,32.0,89.0,89.0,99.0,7-9
1051,African_540/African_540_9.png,African_540_9,enrolled,African_540,African,9,African_540,43.0,100.0,100.0,100.0,7-9
1053,African_544/African_544_7.png,African_544_7,enrolled,African_544,African,9,African_544,31.0,99.0,95.0,100.0,7-9
1054,African_544/African_544_8.png,African_544_8,enrolled,African_544,African,8,African_544,40.0,99.0,92.0,100.0,7-9
1055,African_545/African_545_3.png,African_545_3,enrolled,African_545,African,9,African_545,30.0,91.0,96.0,99.0,7-9
1056,African_546/African_546_0.png,African_546_0,enrolled,African_546,African,10,African_546,44.0,93.0,97.0,100.0,10-12
1057,African_546/African_546_1.png,African_546_1,enrolled,African_546,African,7,African_546,47.0,99.0,99.0,100.0,7-9
1058,African_547/African_547_23.png,African_547_23,enrolled,African_547,African,5,African_547,53.0,95.0,90.0,100.0,4-6
1059,African_547/African_547_61.png,African_547_61,enrolled,African_547,African,5,African_547,29.0,99.0,98.0,100.0,4-6
1060,African_547/African_547_62.png,African_547_62,enrolled,African_547,African,6,African_547,33.0,100.0,97.0,100.0,4-6
1061,African_547/African_547_9.png,African_547_9,enrolled,African_547,African,7,African_547,61.0,97.0,88.0,100.0,7-9
1068,African_552/African_552_1.png,African_552_1,enrolled,African_552,African,1,African_552,36.0,100.0,98.0,100.0,1-3
1069,African_552/African_552_2.png,African_552_2,enrolled,African_552,African,4,African_552,33.0,86.0,100.0,100.0,4-6
1072,African_553/African_553_23.png,African_553_23,enrolled,African_553,African,9,African_553,46.0,93.0,95.0,100.0,7-9
1073,African_553/African_553_7.png,African_553_7,enrolled,African_553,African,10,African_553,64.0,94.0,88.0,100.0,10-12
1074,African_554/African_554_7.png,African_554_7,enrolled,African_554,African,11,African_554,37.0,92.0,100.0,100.0,10-12
1076,African_556/African_556_11.png,African_556_11,enrolled,African_556,African,8,African_556,47.0,100.0,97.0,100.0,7-9
1077,African_556/African_556_13.png,African_556_13,enrolled,African_556,African,8,African_556,33.0,99.0,99.0,100.0,7-9
1080,African_556/African_556_29.png,African_556_29,enrolled,African_556,African,7,African_556,32.0,99.0,96.0,100.0,7-9
1081,African_556/African_556_43.png,African_556_43,enrolled,African_556,African,12,African_556,41.0,99.0,94.0,100.0,10-12
1083,African_557/African_557_3.png,African_557_3,enrolled,African_557,African,8,African_557,77.0,100.0,97.0,99.0,7-9
1084,African_557/African_557_6.png,African_557_6,enrolled,African_557,African,8,African_557,79.0,100.0,94.0,100.0,7-9
1085,African_558/African_558_16.png,African_558_16,enrolled,African_558,African,3,African_558,42.0,100.0,100.0,100.0,1-3
1094,African_57/African_57_1.png,African_57_1,enrolled,African_57,African,14,African_57,30.0,98.0,99.0,100.0,13-15
1095,African_57/African_57_2.png,African_57_2,enrolled,African_57,African,13,African_57,37.0,97.0,99.0,100.0,13-15
1096,African_57/African_57_3.png,African_57_3,enrolled,African_57,African,15,African_57,48.0,100.0,100.0,100.0,13-15
1103,African_578/African_578_14.png,African_578_14,enrolled,African_578,African,2,African_578,29.0,99.0,98.0,100.0,1-3
1104,African_578/African_578_5.png,African_578_5,enrolled,African_578,African,3,African_578,50.0,99.0,99.0,100.0,1-3
1107,African_579/African_579_12.png,African_579_12,enrolled,African_579,African,3,African_579,60.0,97.0,97.0,100.0,1-3
1108,African_580/African_580_15.png,African_580_15,enrolled,African_580,African,5,African_580,34.0,100.0,100.0,100.0,4-6
1109,African_580/African_580_16.png,African_580_16,enrolled,African_580,African,6,African_580,46.0,99.0,77.0,100.0,4-6
1110,African_580/African_580_17.png,African_580_17,enrolled,African_580,African,5,African_580,47.0,100.0,96.0,100.0,4-6
1112,African_582/African_582_3.png,African_582_3,enrolled,African_582,African,6,African_582,56.0,99.0,100.0,100.0,4-6
1119,African_585/African_585_5.png,African_585_5,enrolled,African_585,African,10,African_585,42.0,98.0,99.0,100.0,10-12
1120,African_585/African_585_8.png,African_585_8,enrolled,African_585,African,3,African_585,36.0,100.0,97.0,100.0,1-3
1121,African_586/African_586_1.png,African_586_1,enrolled,African_586,African,13,African_586,34.0,98.0,86.0,100.0,13-15
1127,African_588/African_588_1.png,African_588_1,enrolled,African_588,African,5,African_588,38.0,100.0,100.0,100.0,4-6
1129,African_590/African_590_10.png,African_590_10,enrolled,African_590,African,2,African_590,34.0,81.0,91.0,98.0,1-3
1130,African_590/African_590_12.png,African_590_12,enrolled,African_590,African,1,African_590,29.0,99.0,99.0,100.0,1-3
1134,African_599/African_599_0.png,African_599_0,enrolled,African_599,African,5,African_599,31.0,99.0,98.0,100.0,4-6
1135,African_599/African_599_1.png,African_599_1,enrolled,African_599,African,6,African_599,47.0,92.0,100.0,100.0,4-6
1139,African_60/African_60_1.png,African_60_1,enrolled,African_60,African,9,African_60,34.0,85.0,97.0,100.0,7-9
1142,African_601/African_601_0.png,African_601_0,enrolled,African_601,African,6,African_601,43.0,100.0,90.0,100.0,4-6
1143,African_601/African_601_1.png,African_601_1,enrolled,African_601,African,7,African_601,31.0,99.0,90.0,100.0,7-9
1144,African_601/African_601_3.png,African_601_3,enrolled,African_601,African,9,African_601,35.0,100.0,92.0,100.0,7-9
1148,African_610/African_610_0.png,African_610_0,enrolled,African_610,African,8,African_610,31.0,98.0,86.0,100.0,7-9
1154,African_614/African_614_1.png,African_614_1,enrolled,African_614,African,6,African_614,43.0,100.0,89.0,100.0,4-6
1155,African_615/African_615_37.png,African_615_37,enrolled,African_615,African,11,African_615,50.0,94.0,100.0,100.0,10-12
1156,African_615/African_615_40.png,African_615_40,enrolled,African_615,African,12,African_615,48.0,93.0,100.0,100.0,10-12
1157,African_618/African_618_2.png,African_618_2,enrolled,African_618,African,11,African_618,63.0,100.0,100.0,100.0,10-12
1159,African_618/African_618_5.png,African_618_5,enrolled,African_618,African,13,African_618,46.0,96.0,99.0,100.0,13-15
1161,African_624/African_624_3.png,African_624_3,enrolled,African_624,African,11,African_624,31.0,85.0,92.0,100.0,10-12
1164,African_627/African_627_0.png,African_627_0,enrolled,African_627,African,15,African_627,36.0,96.0,99.0,100.0,13-15
1166,African_628/African_628_10.png,African_628_10,enrolled,African_628,African,4,African_628,52.0,93.0,94.0,100.0,4-6
1167,African_628/African_628_13.png,African_628_13,enrolled,African_628,African,7,African_628,44.0,92.0,88.0,100.0,7-9
1168,African_628/African_628_85.png,African_628_85,enrolled,African_628,African,3,African_628,35.0,93.0,100.0,100.0,1-3
1171,African_629/African_629_0.png,African_629_0,enrolled,African_629,African,10,African_629,58.0,79.0,99.0,100.0,10-12
1172,African_629/African_629_1.png,African_629_1,enrolled,African_629,African,10,African_629,46.0,99.0,87.0,100.0,10-12
1173,African_630/African_630_1.png,African_630_1,enrolled,African_630,African,8,African_630,47.0,99.0,100.0,100.0,7-9
1174,African_631/African_631_3.png,African_631_3,enrolled,African_631,African,2,African_631,44.0,99.0,99.0,100.0,1-3
1175,African_631/African_631_5.png,African_631_5,enrolled,African_631,African,4,African_631,51.0,95.0,99.0,100.0,4-6
1178,African_631/African_631_8.png,African_631_8,enrolled,African_631,African,3,African_631,39.0,99.0,100.0,100.0,1-3
1179,African_632/African_632_0.png,African_632_0,enrolled,African_632,African,8,African_632,85.0,100.0,100.0,100.0,7-9
1180,African_632/African_632_1.png,African_632_1,enrolled,African_632,African,9,African_632,70.0,99.0,89.0,100.0,7-9
1181,African_632/African_632_4.png,African_632_4,enrolled,African_632,African,9,African_632,73.0,100.0,98.0,100.0,7-9
1182,African_633/African_633_1.png,African_633_1,enrolled,African_633,African,12,African_633,63.0,100.0,96.0,99.0,10-12
1183,African_634/African_634_19.png,African_634_19,enrolled,African_634,African,15,African_634,42.0,100.0,93.0,100.0,13-15
1184,African_634/African_634_22.png,African_634_22,enrolled,African_634,African,15,African_634,46.0,91.0,100.0,100.0,13-15
1185,African_634/African_634_24.png,African_634_24,enrolled,African_634,African,14,African_634,50.0,97.0,100.0,100.0,13-15
1195,African_638/African_638_3.png,African_638_3,enrolled,African_638,African,9,African_638,53.0,100.0,81.0,100.0,7-9
1198,African_641/African_641_4.png,African_641_4,enrolled,African_641,African,11,African_641,36.0,89.0,98.0,100.0,10-12
1199,African_642/African_642_1.png,African_642_1,enrolled,African_642,African,9,African_642,76.0,100.0,99.0,100.0,7-9
1200,African_642/African_642_4.png,African_642_4,enrolled,African_642,African,13,African_642,66.0,96.0,100.0,100.0,13-15
1208,African_646/African_646_1.png,African_646_1,enrolled,African_646,African,14,African_646,83.0,94.0,95.0,100.0,13-15
1209,African_646/African_646_2.png,African_646_2,enrolled,African_646,African,15,African_646,84.0,90.0,94.0,100.0,13-15
1210,African_647/African_647_1.png,African_647_1,enrolled,African_647,African,9,African_647,41.0,100.0,94.0,100.0,7-9
1211,African_647/African_647_2.png,African_647_2,enrolled,African_647,African,8,African_647,37.0,99.0,100.0,100.0,7-9
1212,African_647/African_647_3.png,African_647_3,enrolled,African_647,African,8,African_647,51.0,100.0,100.0,100.0,7-9
1213,African_648/African_648_2.png,African_648_2,enrolled,African_648,African,10,African_648,86.0,100.0,95.0,100.0,10-12
1214,African_649/African_649_4.png,African_649_4,enrolled,African_649,African,14,African_649,72.0,100.0,98.0,100.0,13-15
1215,African_650/African_650_0.png,African_650_0,enrolled,African_650,African,13,African_650,46.0,94.0,87.0,100.0,13-15
1216,African_650/African_650_1.png,African_650_1,enrolled,African_650,African,12,African_650,50.0,97.0,92.0,100.0,10-12
1217,African_651/African_651_1.png,African_651_1,enrolled,African_651,African,5,African_651,39.0,100.0,100.0,100.0,4-6
1218,African_651/African_651_2.png,African_651_2,enrolled,African_651,African,5,African_651,33.0,99.0,100.0,100.0,4-6
1222,African_653/African_653_11.png,African_653_11,enrolled,African_653,African,4,African_653,69.0,99.0,94.0,100.0,4-6
1223,African_653/African_653_13.png,African_653_13,enrolled,African_653,African,5,African_653,59.0,89.0,96.0,100.0,4-6
1224,African_653/African_653_5.png,African_653_5,enrolled,African_653,African,7,African_653,61.0,87.0,94.0,100.0,7-9
1225,African_653/African_653_6.png,African_653_6,enrolled,African_653,African,8,African_653,35.0,100.0,92.0,100.0,7-9
