,Probe Image,Reference Image,Similarity Score,Probe Image Identity,Reference Image Identity,Filename,UnifiedQualityScore,BackgroundUniformity,IlluminationUniformity,LuminanceMean,LuminanceVariance,UnderExposurePrevention,OverExposurePrevention,DynamicRange,Sharpness,CompressionArtifacts,NaturalColour,SingleFacePresent,EyesOpen,MouthClosed,EyesVisible,MouthOcclusionPrevention,FaceOcclusionPrevention,InterEyeDistance,HeadSize,LeftwardCropOfTheFaceImage,RightwardCropOfTheFaceImage,DownwardCropOfTheFaceImage,UpwardCropOfTheFaceImage,HeadPoseYaw,HeadPosePitch,HeadPoseRoll,ExpressionNeutrality,NoHeadCoverings,UnifiedQualityScore.scalar,BackgroundUniformity.scalar,IlluminationUniformity.scalar,LuminanceMean.scalar,LuminanceVariance.scalar,UnderExposurePrevention.scalar,OverExposurePrevention.scalar,DynamicRange.scalar,Sharpness.scalar,CompressionArtifacts.scalar,NaturalColour.scalar,SingleFacePresent.scalar,EyesOpen.scalar,MouthClosed.scalar,EyesVisible.scalar,MouthOcclusionPrevention.scalar,FaceOcclusionPrevention.scalar,InterEyeDistance.scalar,HeadSize.scalar,LeftwardCropOfTheFaceImage.scalar,RightwardCropOfTheFaceImage.scalar,DownwardCropOfTheFaceImage.scalar,UpwardCropOfTheFaceImage.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar,ExpressionNeutrality.scalar,NoHeadCoverings.scalar,Unnamed: 57,image_name,identity_name
3453,m.04rkgx_0003,m.04rkgx_0002,0.6896018,m.04rkgx,m.04rkgx,../../../data/tests/images/adults_full_final/m.04rkgx_0003.jpg,25.224241,71.609631,0.622041,0.202906,0.01715,0.211747,0.0,6.82826,-37,0.958655,0.0,0.0,0.101766,0.00699,0.0,0.0,0.008822,89.527854,0.357677,2.870588,2.835294,1.265108,1.530711,-18.300051,-11.912519,1.089767,-14504.412109,0.0,70,67,87,51,100,100.0,100.0,85,14,100,100,100,100,96,100,100,99,73,27,100,100,21,6,90,96,100,13,100,,m.04rkgx_0003,m.04rkgx
4570,m.04g1gty_0001,m.04g1gty_0005,0.68958366,m.04g1gty,m.04g1gty,../../../data/tests/images/adults_full_final/m.04g1gty_0001.jpg,24.449749,77.535069,0.278889,0.268649,0.040633,0.118368,0.0,7.013841,-39,0.913953,0.0,0.0,0.048893,0.071506,0.0,0.0,0.027582,81.658948,0.386167,3.118421,3.144737,1.171773,1.41778,-21.455771,6.251215,-2.184488,-5412.784668,0.0,64,64,68,80,79,100.0,100.0,88,11,100,100,100,95,89,100,100,97,64,44,100,100,9,2,87,99,100,48,100,,m.04g1gty_0001,m.04g1gty
4568,m.04g1gty_0005,m.04g1gty_0001,0.68958366,m.04g1gty,m.04g1gty,../../../data/tests/images/adults_full_final/m.04g1gty_0005.jpg,28.155722,6.943183,0.404297,0.445662,0.033386,0.038869,0.0,7.506404,-45,0.920702,0.0,0.0,0.065104,0.080858,0.0,0.0,0.034477,86.830114,0.371021,2.938151,2.938151,1.233085,1.462183,-19.151628,5.811473,-2.814289,-13811.731445,0.0,88,96,76,99,87,100.0,100.0,94,4,100,100,100,99,88,100,100,97,70,34,100,100,16,3,89,99,100,15,100,,m.04g1gty_0005,m.04g1gty
2571,m.02qhmbw_0004,m.02qhmbw_0003,0.68957764,m.02qhmbw,m.02qhmbw,../../../data/tests/images/adults_full_final/m.02qhmbw_0004.jpg,24.725893,67.018743,0.701242,0.39977,0.026536,0.043873,0.0,7.308145,-42,0.850245,0.0,0.0,0.084822,0.0,0.0,0.0,0.021598,88.089324,0.35875,2.761185,2.783911,1.275261,1.512195,-2.497033,-8.418033,0.744991,-7356.163574,0.0,66,69,90,98,94,100.0,100.0,91,8,100,100,100,100,97,100,100,98,71,28,100,100,22,5,100,98,100,38,100,,m.02qhmbw_0004,m.02qhmbw
2923,m.02qhmbw_0003,m.02qhmbw_0004,0.68957764,m.02qhmbw,m.02qhmbw,../../../data/tests/images/adults_full_final/m.02qhmbw_0003.jpg,25.319752,7.430623,0.521605,0.210191,0.009722,0.077812,0.0,6.472733,-10,0.954618,0.0,0.0,0.080707,0.137594,0.235615,0.0,0.074969,92.009927,0.401375,2.641148,2.706362,1.139833,1.351605,-0.566197,-5.349395,0.463112,-13556.389648,0.0,71,96,82,55,92,100.0,100.0,81,62,100,100,100,100,74,76,100,93,75,55,100,100,7,1,100,99,100,15,100,,m.02qhmbw_0003,m.02qhmbw
4576,m.03cy3x3_0002,m.03cy3x3_0003,0.6892692,m.03cy3x3,m.03cy3x3,../../../data/tests/images/adults_full_final/m.03cy3x3_0002.jpg,25.800737,88.817775,0.432526,0.557552,0.046808,0.040084,0.0,7.515643,-36,0.949775,0.0,0.0,0.102418,0.007079,0.0,0.0,0.00715,85.40864,0.35314,2.891566,2.927711,1.295521,1.536218,13.639505,-5.711544,-0.324155,3984.510742,0.313495,75,59,78,99,73,100.0,100.0,94,15,100,100,100,100,96,100,100,99,68,25,100,100,26,7,94,99,100,86,0,,m.03cy3x3_0002,m.03cy3x3
4578,m.03cy3x3_0003,m.03cy3x3_0002,0.6892692,m.03cy3x3,m.03cy3x3,../../../data/tests/images/adults_full_final/m.03cy3x3_0003.jpg,18.990734,50.396011,0.387755,0.306052,0.011326,0.032059,0.0,6.636562,-16,0.824177,0.0,0.0,0.084836,0.109311,0.0,0.0,0.062702,87.407909,0.3888,2.781425,2.815906,1.183127,1.388888,5.498315,-5.019681,-0.683678,-14397.624023,0.0,18,76,75,89,96,100.0,100.0,83,51,100,100,100,100,82,100,100,94,70,45,100,100,10,2,99,99,100,13,100,,m.03cy3x3_0003,m.03cy3x3
887,m.057y36c_0001,m.057y36c_0005,0.6891097,m.057y36c,m.057y36c,../../../data/tests/images/adults_full_final/m.057y36c_0001.jpg,28.010696,5.457149,0.327855,0.274529,0.032198,0.217916,0.0,7.274332,-33,0.956641,0.0,0.0,0.098761,0.006135,0.0,0.0,0.013466,83.265927,0.407502,2.950617,2.987654,1.122694,1.331282,13.397282,-11.800449,-3.135914,-12654.759766,0.0,87,97,72,82,88,100.0,100.0,91,20,100,100,100,100,96,100,100,99,66,60,100,100,6,1,95,96,100,18,100,,m.057y36c_0001,m.057y36c
1971,m.057y36c_0005,m.057y36c_0001,0.6891097,m.057y36c,m.057y36c,../../../data/tests/images/adults_full_final/m.057y36c_0005.jpg,28.047419,76.762508,0.550926,0.220269,0.020483,0.264733,0.0,7.006287,-39,0.958679,0.0,0.0,0.091023,0.006622,0.0,0.0,0.008029,82.086209,0.377533,2.926829,2.95122,1.205192,1.443582,-2.626139,-9.073947,-0.291072,-13287.955078,0.0,87,64,84,60,99,100.0,100.0,88,11,100,100,100,100,96,100,100,99,65,38,100,100,12,3,100,98,100,16,100,,m.057y36c_0005,m.057y36c
1423,m.09r9q4_0002,m.09r9q4_0005,0.68909454,m.09r9q4,m.09r9q4,../../../data/tests/images/adults_full_final/m.09r9q4_0002.jpg,30.040388,54.810096,0.558642,0.189465,0.015715,0.272026,0.0,6.826368,-37,0.887151,2.951358,0.0,0.128769,0.07603,0.0,0.0,0.003859,89.055951,0.361697,2.727273,2.818182,1.26487,1.499873,-8.83198,9.470423,-2.664612,-6383.276367,0.0,94,74,84,45,100,100.0,100.0,85,14,100,85,100,100,89,100,100,100,72,29,100,100,21,5,98,97,100,43,100,,m.09r9q4_0002,m.09r9q4
1667,m.03_wtr_0002,m.03_wtr_0001,0.689085,m.03_wtr,m.03_wtr,../../../data/tests/images/adults_full_final/m.03_wtr_0002.jpg,26.057114,60.464452,0.314879,0.133939,0.005293,0.364451,0.0,6.111463,-28,0.955908,0.0,0.0,0.078505,0.012539,0.0,0.0,0.003262,86.931413,0.398768,2.81157,2.893917,1.147285,1.360441,12.081737,-4.220804,0.465851,746.224121,0.0,76,72,71,21,69,100.0,100.0,76,29,100,100,100,100,96,100,100,100,70,53,100,100,7,1,96,99,100,76,100,,m.03_wtr_0002,m.03_wtr
4590,m.06h_0v_0003,m.06h_0v_0002,0.68899465,m.06h_0v,m.06h_0v,../../../data/tests/images/adults_full_final/m.06h_0v_0003.jpg,23.851721,50.109788,0.646484,0.337347,0.024781,0.083939,0.0,7.312446,-38,0.819356,2.083073,0.0,0.068955,0.006825,0.0,0.0,0.023376,79.273261,0.366303,3.037731,3.025074,1.248965,1.481013,-4.703231,-2.718985,-0.136154,-4925.818359,0.587321,58,76,88,94,95,100.0,100.0,91,13,100,90,100,99,96,100,100,98,61,32,100,100,18,4,99,100,100,50,0,,m.06h_0v_0003,m.06h_0v
4087,m.06h_0v_0002,m.06h_0v_0003,0.68899465,m.06h_0v,m.06h_0v,../../../data/tests/images/adults_full_final/m.06h_0v_0002.jpg,22.813677,95.084034,0.134068,0.190901,0.019989,0.319636,0.0,6.897548,-4,0.877953,3.756935,0.0,0.056137,0.081751,0.0,0.0,0.018219,83.030632,0.397549,2.890727,2.926861,1.144513,1.3709,-0.719098,11.113524,0.194594,-6922.711914,0.565268,48,57,55,45,99,100.0,100.0,86,72,100,81,100,97,88,100,100,98,66,52,100,100,7,1,100,96,100,41,0,,m.06h_0v_0002,m.06h_0v
4069,m.08gdd0_0005,m.08gdd0_0001,0.68884546,m.08gdd0,m.08gdd0,../../../data/tests/images/adults_full_final/m.08gdd0_0005.jpg,26.743124,54.126377,0.685957,0.145022,0.010809,0.360606,0.0,6.497082,-33,0.951528,0.0,0.0,0.082949,0.077855,0.019291,0.0,0.122034,88.356147,0.390648,2.772727,2.772727,1.16473,1.395116,-5.14612,-4.65007,2.276951,-10584.30957,0.0,81,74,89,25,94,100.0,100.0,81,20,100,100,100,100,88,98,100,88,71,47,100,100,9,2,99,99,100,25,100,,m.08gdd0_0005,m.08gdd0
4596,m.08gdd0_0001,m.08gdd0_0005,0.68884546,m.08gdd0,m.08gdd0,../../../data/tests/images/adults_full_final/m.08gdd0_0001.jpg,27.181973,60.381579,0.693213,0.298554,0.038947,0.174805,0.0,7.424333,-46,0.917953,0.0,0.0,0.103989,0.006955,0.071327,0.0,0.123273,90.257084,0.359455,2.688723,2.755385,1.272761,1.50923,-4.278504,-1.256186,3.674934,-8356.791016,0.0,83,72,90,88,81,100.0,100.0,93,3,100,100,100,100,96,93,100,88,73,28,100,100,22,5,99,100,100,34,100,,m.08gdd0_0001,m.08gdd0
4606,m.06d7x6_0002,m.06d7x6_0003,0.6887527,m.06d7x6,m.06d7x6,../../../data/tests/images/adults_full_final/m.06d7x6_0002.jpg,25.279461,176.555602,0.656636,0.206276,0.018147,0.198598,0.0,6.95544,-36,0.891531,0.398227,0.0,0.108137,0.105923,0.0,0.0,0.027791,86.305388,0.377632,2.789943,2.859692,1.211496,1.436582,4.634102,-4.305901,-0.120908,-15217.166992,0.0,71,30,88,53,100,100.0,100.0,87,15,100,98,100,100,83,100,100,97,69,38,100,100,13,3,99,99,100,11,100,,m.06d7x6_0002,m.06d7x6
4610,m.081bh__0003,m.081bh__0002,0.68873614,m.081bh_,m.081bh_,../../../data/tests/images/adults_full_final/m.081bh__0003.jpg,28.137934,6.591874,0.191919,0.342084,0.029615,0.113564,0.0,7.33692,-44,0.93904,2.032411,0.0,0.08,0.103753,0.0,0.0,0.006859,82.100943,0.386282,2.938806,2.938806,1.177895,1.410885,2.754316,-8.260354,-1.333763,-15616.422852,0.0,88,97,61,94,90,100.0,100.0,92,5,100,90,100,100,83,100,100,99,65,44,100,100,10,2,100,98,100,11,100,,m.081bh__0003,m.081bh_
4612,m.081bh__0002,m.081bh__0003,0.68873614,m.081bh_,m.081bh_,../../../data/tests/images/adults_full_final/m.081bh__0002.jpg,28.682009,149.434999,0.071799,0.24574,0.015724,0.147244,0.0,6.908731,-38,0.948861,6.531614,0.0,0.056296,0.123419,0.0,0.0,0.006117,87.069672,0.405123,2.813953,2.837209,1.123114,1.345269,8.990319,-0.724502,0.656034,-13406.143555,0.0,90,38,45,71,100,100.0,100.0,86,13,100,68,100,97,78,100,100,99,70,58,100,100,6,1,98,100,100,16,100,,m.081bh__0002,m.081bh_
4616,m.08js5f_0005,m.08js5f_0004,0.68872136,m.08js5f,m.08js5f,../../../data/tests/images/adults_full_final/m.08js5f_0005.jpg,22.585426,12.377113,0.019896,0.113905,0.010214,0.561022,0.0,6.159067,-33,0.872541,0.0,0.0,0.088807,0.0,0.020629,0.0,0.10518,87.307986,0.37785,2.792366,2.803857,1.197567,1.448989,4.630755,-1.923584,1.314591,-11734.004883,0.0,46,94,31,15,93,100.0,100.0,77,20,100,100,100,100,97,98,100,89,70,38,100,100,12,3,99,100,100,21,100,,m.08js5f_0005,m.08js5f
4618,m.0cdfl_0002,m.0cdfl_0003,0.68868387,m.0cdfl,m.0cdfl,../../../data/tests/images/adults_full_final/m.0cdfl_0002.jpg,20.478811,144.489449,0.099343,0.332394,0.0718,0.237642,0.000206,7.506282,-31,0.860322,0.0,0.0,0.110467,0.00724,0.0,0.0,0.028528,90.884565,0.345326,2.699334,2.743767,1.317596,1.578219,7.899091,-3.231602,-1.574854,5604.101074,0.269171,27,39,50,93,56,100.0,98.0,94,23,100,100,100,100,96,100,100,97,74,22,100,100,30,10,98,100,100,89,0,,m.0cdfl_0002,m.0cdfl
4620,m.0g9zt_w_0002,m.0g9zt_w_0001,0.6886463,m.0g9zt_w,m.0g9zt_w,../../../data/tests/images/adults_full_final/m.0g9zt_w_0002.jpg,24.107817,2.902427,0.2764,0.415542,0.042958,0.074872,0.0,7.60031,-39,0.859767,0.0,0.0,0.094649,0.091955,0.122702,0.0,0.059866,83.059565,0.384484,2.903404,2.915451,1.189906,1.410981,2.057363,2.19923,1.143844,-6487.894043,0.0,60,98,68,99,77,100.0,100.0,95,11,100,100,100,100,86,88,100,94,66,42,100,100,11,2,100,100,100,43,100,,m.0g9zt_w_0002,m.0g9zt_w
4624,m.0cty0_0003,m.0cty0_0002,0.68848896,m.0cty0,m.0cty0,../../../data/tests/images/adults_full_final/m.0cty0_0003.jpg,19.351645,161.67142,0.0,0.17587,0.040699,0.563708,0.0,6.098141,-36,0.941992,100.0,0.0,0.11228,0.010677,0.0,0.0,0.007761,84.239152,0.331144,2.856333,2.903939,1.374025,1.64581,4.097711,-13.781425,1.795189,-1433.704956,0.0,20,34,0,38,79,100.0,100.0,76,15,100,0,100,100,96,100,100,99,67,17,100,100,44,18,99,94,100,67,100,,m.0cty0_0003,m.0cty0
4628,m.04m7j2_0004,m.04m7j2_0003,0.688474,m.04m7j2,m.04m7j2,../../../data/tests/images/adults_full_final/m.04m7j2_0004.jpg,24.055201,34.783137,0.033179,0.244635,0.060859,0.484898,2e-05,6.773838,-38,0.794778,0.0,0.0,0.084492,0.006911,0.0,0.0,0.003186,87.325556,0.361736,2.758438,2.838893,1.271645,1.4928,-4.905065,6.211237,-1.445635,1462.681763,0.0,60,83,36,71,63,100.0,100.0,85,13,100,100,100,100,96,100,100,100,70,29,100,100,22,4,99,99,100,78,100,,m.04m7j2_0004,m.04m7j2
4630,m.04m7j2_0003,m.04m7j2_0004,0.688474,m.04m7j2,m.04m7j2,../../../data/tests/images/adults_full_final/m.04m7j2_0003.jpg,23.29888,152.36981,0.061419,0.224598,0.039603,0.356402,0.0,6.990694,-41,0.841868,0.0,0.0,0.077538,0.135958,0.0,0.0,0.007172,88.292961,0.387895,2.813193,2.836442,1.179443,1.398574,-13.019503,3.119014,-1.522036,-14986.333008,0.0,53,37,43,62,80,100.0,100.0,87,9,100,100,100,100,74,100,100,99,71,45,100,100,10,2,95,100,100,12,100,,m.04m7j2_0003,m.04m7j2
4632,m.02qbwb__0002,m.02qbwb__0004,0.68845344,m.02qbwb_,m.02qbwb_,../../../data/tests/images/adults_full_final/m.02qbwb__0002.jpg,24.040062,125.840578,0.269054,0.131803,0.008414,0.421297,0.0,6.32888,-37,0.952488,3.527569,0.0,0.077627,0.079259,0.0,0.0,0.000473,85.849455,0.411258,2.821229,2.940268,1.106363,1.325204,11.895181,-7.24043,-0.596989,5916.595215,0.0,60,45,67,20,87,100.0,100.0,79,14,100,83,100,100,88,100,100,100,69,63,100,100,5,1,96,98,100,90,100,,m.02qbwb__0002,m.02qbwb_
2665,m.02qjmvq_0003,m.02qjmvq_0004,0.6883956,m.02qjmvq,m.02qjmvq,../../../data/tests/images/adults_full_final/m.02qjmvq_0003.jpg,27.101578,1.782123,0.438272,0.455219,0.034193,0.045566,0.0,7.489346,30,0.86731,0.0,0.0,0.108788,0.078047,0.0,0.0,0.002835,85.382851,0.353805,2.87039,2.835098,1.307217,1.519198,-5.38598,-9.639792,0.143229,-13234.921875,0.0,83,99,78,99,86,100.0,100.0,94,97,100,100,100,100,88,100,100,100,68,25,100,100,28,6,99,97,100,16,100,,m.02qjmvq_0003,m.02qjmvq
4638,m.02qjmvq_0004,m.02qjmvq_0003,0.6883956,m.02qjmvq,m.02qjmvq,../../../data/tests/images/adults_full_final/m.02qjmvq_0004.jpg,24.35841,61.707578,0.25551,0.175182,0.006911,0.206676,0.0,6.32962,-36,0.96061,0.0,0.0,0.123494,0.0,0.0,0.0,0.030032,81.002261,0.337558,2.962963,2.975309,1.362729,1.599726,-0.428056,-8.687674,-1.063589,-2904.592285,0.0,63,71,66,38,80,100.0,100.0,79,15,100,100,100,100,97,100,100,97,63,19,100,100,41,12,100,98,100,60,100,,m.02qjmvq_0004,m.02qjmvq
4646,m.07ddkz_0002,m.07ddkz_0003,0.6880715,m.07ddkz,m.07ddkz,../../../data/tests/images/adults_full_final/m.07ddkz_0002.jpg,20.541355,21.042462,0.219467,0.20977,0.004387,0.026639,0.0,6.000257,-19,0.983651,4.825458,0.0,0.054756,0.129429,0.0,0.0,0.004567,85.121874,0.44468,2.903404,2.915451,1.028829,1.219977,12.80157,0.848607,1.072264,-14052.520508,0.0,28,90,63,55,61,100.0,100.0,75,45,100,76,100,97,76,100,100,100,68,95,100,100,2,0,95,100,100,14,100,,m.07ddkz_0002,m.07ddkz
1305,m.07ddkz_0003,m.07ddkz_0002,0.6880715,m.07ddkz,m.07ddkz,../../../data/tests/images/adults_full_final/m.07ddkz_0003.jpg,18.822317,5.204141,0.007346,0.406816,0.011954,0.011539,0.0,6.723656,-19,0.949075,0.0,0.0,0.081249,0.143692,0.0,0.0,0.003025,86.215926,0.438078,2.880136,2.880136,1.032921,1.249777,-12.947935,1.963647,-0.992139,-13909.849609,0.0,17,97,23,98,97,100.0,100.0,84,45,100,100,100,100,72,100,100,100,69,88,100,100,2,0,95,100,100,14,100,,m.07ddkz_0003,m.07ddkz
4650,m.03cn1r7_0001,m.03cn1r7_0003,0.6879597,m.03cn1r7,m.03cn1r7,../../../data/tests/images/adults_full_final/m.03cn1r7_0001.jpg,29.571522,84.186168,0.592593,0.212347,0.024398,0.276987,0.0,7.011532,-35,0.944938,0.0,0.0,0.088904,0.006779,0.0,0.0,0.042086,84.008184,0.368784,2.868844,2.892652,1.240564,1.471051,0.417606,-1.7275,-0.540366,-1598.320923,0.0,93,61,85,56,96,100.0,100.0,88,17,100,100,100,100,96,100,100,96,67,33,100,100,17,4,100,100,100,66,100,,m.03cn1r7_0001,m.03cn1r7
4652,m.0r4vh9r_0003,m.0r4vh9r_0002,0.6879344,m.0r4vh9r,m.0r4vh9r,../../../data/tests/images/adults_full_final/m.0r4vh9r_0003.jpg,20.635666,56.650141,0.524082,0.22559,0.015603,0.10786,0.0,6.804658,-12,0.804246,0.0,0.0,0.064392,0.007159,0.0,0.175319,0.142128,86.034069,0.349189,2.802136,2.848645,1.30302,1.56076,-1.468472,0.743724,2.061432,5807.246094,0.0,29,73,82,63,100,100.0,100.0,85,58,100,100,100,99,96,100,82,86,69,24,100,100,27,8,100,100,100,90,100,,m.0r4vh9r_0003,m.0r4vh9r
2447,m.0r4vh9r_0002,m.0r4vh9r_0003,0.6879344,m.0r4vh9r,m.0r4vh9r,../../../data/tests/images/adults_full_final/m.0r4vh9r_0002.jpg,24.965015,96.93424,0.820934,0.03295,0.000618,0.968689,0.0,4.214976,-7,0.871703,0.0,0.0,0.05851,0.132867,0.0,0.0,0.003003,86.087536,0.3575,2.813193,2.836442,1.265734,1.531469,-2.214334,-6.460275,0.682552,-13849.230469,0.0,68,56,94,3,11,13.0,100.0,53,67,100,100,100,98,75,100,100,100,69,27,100,100,21,6,100,99,100,15,100,,m.0r4vh9r_0002,m.0r4vh9r
4654,m.03pm9k_0003,m.03pm9k_0002,0.6879152,m.03pm9k,m.03pm9k,../../../data/tests/images/adults_full_final/m.03pm9k_0003.jpg,23.216015,89.761101,0.512111,0.292398,0.027634,0.10888,0.0,7.249401,-35,0.956981,100.0,0.0,0.049625,0.019761,0.0,0.0,0.049199,84.749201,0.40007,2.898992,2.972076,1.1373,1.362261,14.370465,4.653025,1.538261,-666.727966,0.016033,52,59,82,86,93,100.0,100.0,91,17,100,0,100,95,95,100,100,95,68,54,100,100,7,1,94,99,100,70,100,,m.03pm9k_0003,m.03pm9k
4662,m.04grr30_0003,m.04grr30_0002,0.6879009,m.04grr30,m.04grr30,../../../data/tests/images/adults_full_final/m.04grr30_0003.jpg,26.41783,64.588863,0.476852,0.25844,0.024733,0.219718,0.0,7.098441,-39,0.920978,0.617098,0.0,0.059374,0.046509,0.0,0.0,0.006768,89.017216,0.376269,2.730165,2.76387,1.215886,1.441789,-0.924927,1.784868,0.332765,-11414.806641,0.307156,79,70,80,76,95,100.0,100.0,89,11,100,97,100,98,93,100,100,99,72,37,100,100,14,3,100,100,100,22,0,,m.04grr30_0003,m.04grr30
4249,m.0k0wkgy_0003,m.0k0wkgy_0001,0.68781936,m.0k0wkgy,m.0k0wkgy,../../../data/tests/images/adults_full_final/m.0k0wkgy_0003.jpg,27.832315,14.094498,0.343639,0.138381,0.014643,0.530519,0.0,6.465969,-45,0.927395,0.0,0.0,0.057764,0.10879,0.0,0.0,0.008454,88.189795,0.44203,3.103634,3.090648,1.029342,1.232948,29.168457,0.045811,0.650673,-7510.838867,0.0,87,93,73,23,99,100.0,100.0,81,4,100,100,100,98,82,100,100,99,71,92,100,100,2,0,76,100,100,38,100,,m.0k0wkgy_0003,m.0k0wkgy
1993,m.027z06s_0004,m.027z06s_0002,0.68767345,m.027z06s,m.027z06s,../../../data/tests/images/adults_full_final/m.027z06s_0004.jpg,25.926353,50.750772,0.523265,0.270936,0.01089,0.058588,0.0,6.734688,-34,0.97406,0.0,0.0,0.107939,0.0,0.0,0.0,0.006117,83.345353,0.355055,2.878682,2.938906,1.288533,1.527932,5.03228,-9.54718,-0.750384,5714.11377,0.0,76,76,82,81,95,100.0,100.0,84,18,100,100,100,100,97,100,100,99,66,26,100,100,25,6,99,97,100,89,100,,m.027z06s_0004,m.027z06s
3731,m.01ywpx_0001,m.01ywpx_0003,0.68762916,m.01ywpx,m.01ywpx,../../../data/tests/images/adults_full_final/m.01ywpx_0001.jpg,23.956667,56.96327,0.311111,0.280478,0.018633,0.080842,0.0,7.067052,-39,0.949313,2.720762,0.0,0.097382,0.056934,0.0,0.0,0.029924,79.591966,0.354017,3.159719,3.173051,1.29231,1.532412,19.543135,-13.650916,-4.151037,-7087.374023,0.248622,59,73,70,83,100,100.0,100.0,88,11,100,86,100,100,92,100,100,97,62,26,100,100,25,6,89,94,99,40,0,,m.01ywpx_0001,m.01ywpx
4670,m.01ywpx_0003,m.01ywpx_0001,0.68762916,m.01ywpx,m.01ywpx,../../../data/tests/images/adults_full_final/m.01ywpx_0003.jpg,23.494963,111.269486,0.35692,0.161692,0.006898,0.230718,0.0,6.280099,-8,0.961529,0.0,0.0,0.096203,0.140755,0.0,0.0,0.017342,85.064816,0.391152,2.999063,2.999063,1.176013,1.380537,19.82157,6.126634,3.113829,-6189.972168,0.0,55,51,73,32,80,100.0,100.0,79,65,100,100,100,100,73,100,100,98,68,47,100,100,10,1,89,99,100,44,100,,m.01ywpx_0003,m.01ywpx
4672,m.03ydvz_0003,m.03ydvz_0001,0.68758893,m.03ydvz,m.03ydvz,../../../data/tests/images/adults_full_final/m.03ydvz_0003.jpg,20.05229,190.338703,0.527347,0.548915,0.052333,0.019387,0.0,7.510778,-35,0.888842,0.0,0.0,0.099841,0.117422,0.073324,0.0,0.120649,86.177838,0.383823,2.802136,2.848645,1.191955,1.413411,3.620817,-6.512581,-2.222169,-15562.623047,0.0,24,27,83,99,69,100.0,100.0,94,17,100,100,100,100,80,93,100,88,69,42,100,100,11,2,100,99,100,11,100,,m.03ydvz_0003,m.03ydvz
3577,m.03ydvz_0001,m.03ydvz_0003,0.68758893,m.03ydvz,m.03ydvz,../../../data/tests/images/adults_full_final/m.03ydvz_0001.jpg,18.546614,85.406146,0.535494,0.543569,0.051119,0.029013,0.0,7.513861,-34,0.957394,0.0,0.0,0.072053,0.126839,0.069677,0.0,0.061134,86.018495,0.375008,2.813953,2.837209,1.226639,1.439968,1.18815,-8.603203,0.005401,-14894.241211,0.069362,15,61,83,99,70,100.0,100.0,94,18,100,100,100,99,77,93,100,94,69,36,100,100,15,3,100,98,100,12,0,,m.03ydvz_0001,m.03ydvz
1773,m.04n2tgy_0004,m.04n2tgy_0001,0.68750787,m.04n2tgy,m.04n2tgy,../../../data/tests/images/adults_full_final/m.04n2tgy_0004.jpg,21.73435,103.546089,0.653114,0.21928,0.009578,0.122748,0.0,6.624714,-39,0.948609,0.0,0.0,0.082682,0.116192,0.0,0.0,0.012233,92.785859,0.413871,2.82539,2.82539,1.099377,1.316836,-22.039095,-8.345247,2.913822,-13289.113281,0.0,38,54,88,60,91,100.0,100.0,83,11,100,100,100,100,80,100,100,99,76,65,100,100,5,1,86,98,100,16,100,,m.04n2tgy_0004,m.04n2tgy
4674,m.04n2tgy_0001,m.04n2tgy_0004,0.68750787,m.04n2tgy,m.04n2tgy,../../../data/tests/images/adults_full_final/m.04n2tgy_0001.jpg,20.32449,212.377491,0.270204,0.361414,0.024608,0.038773,0.0,7.240463,-31,0.953867,0.0,0.0,0.110114,0.0,0.031583,0.0,0.049241,88.508774,0.372634,2.869048,2.892857,1.214328,1.469269,18.366855,-13.436557,-3.824342,6905.608398,0.0,26,22,68,96,95,100.0,100.0,91,23,100,100,100,100,97,97,100,95,72,35,100,100,14,4,90,95,100,92,100,,m.04n2tgy_0001,m.04n2tgy
1335,m.02x47y6_0001,m.02x47y6_0003,0.68745947,m.02x47y6,m.02x47y6,../../../data/tests/images/adults_full_final/m.02x47y6_0001.jpg,23.877579,253.837552,0.692378,0.250975,0.031183,0.156257,0.000294,7.255527,42,0.818139,8.19089,0.0,0.076866,0.115488,0.098246,0.0,0.09715,84.073483,0.392048,2.85694,2.904556,1.173326,1.377383,2.296614,-4.248844,1.681241,-10730.546875,0.0,58,15,90,73,89,100.0,97.0,91,99,100,61,100,100,80,90,100,90,67,48,100,100,9,1,100,99,100,24,100,,m.02x47y6_0001,m.02x47y6
4682,m.08051l0_0005,m.08051l0_0002,0.68741083,m.08051l0,m.08051l0,../../../data/tests/images/adults_full_final/m.08051l0_0005.jpg,22.890959,139.482035,0.016529,0.071133,0.01476,0.794451,0.0,5.015109,-24,0.928797,100.0,0.0,0.048665,0.124428,0.0,0.0,0.000941,85.624718,0.42384,2.846862,2.858626,1.085314,1.274065,-6.892674,-3.424004,-0.403701,-16687.261719,0.0,49,41,29,7,100,91.0,100.0,63,36,100,0,100,95,78,100,100,100,69,74,100,100,4,1,99,100,100,9,100,,m.08051l0_0005,m.08051l0
